event,Frequency (Covers 80%)
parathyroid hormone Blood,0
hemoglobin Blood,1
protein/creatinine ratio Urine,0
hpe2 Blood,0
hematocrit calculated Blood,0
iron Blood,0
echinocytes Blood,0
calculated tbg Blood,0
inr(pt) Blood,0
luc Blood,0
hepatitis a virus antibody Blood,0
macrocytes Blood,0
monocytes Blood,0
% hemoglobin a1c Blood,0
urea nitrogen Blood,1
lactate dehydrogenase (ld) Blood,0
urea nitrogen urine Urine,0
atypical lymphocytes Blood,0
myelocytes Blood,0
thyroxine (t4) Blood,0
rbc clumps Urine,0
specific gravity Urine,0
ph Urine,0
rbc ascites Ascites,0
protein total Blood,0
macrophage Other Body Fluid,0
monocytes Ascites,0
l Blood,0
basophils Blood,0
albumin/creatinine urine Urine,0
triglycerides Blood,0
urine color Urine,0
cholesterol ratio (total/hdl) Blood,0
ketone Urine,0
platelet count Blood,1
large platelets Blood,0
hepatitis c virus antibody Blood,0
ptt Blood,0
blood Urine,0
mesothelial cell Ascites,0
triiodothyronine (t3) Blood,0
oxygen saturation Blood,0
carboxyhemoglobin Blood,0
eosinophils Blood,0
uhold Urine,0
double stranded dna Blood,0
potassium whole blood Blood,1
anticardiolipin antibody igg Blood,0
creatinine Blood,1
thyroid stimulating hormone Blood,0
nitrite Urine,0
glucose pleural Pleural,0
hematocrit Blood,1
nucleated red cells Blood,0
cholesterol ldl calculated Blood,0
cortisol Blood,0
mchc Blood,1
total protein pleural Pleural,0
potassium Blood,1
yeast Urine,0
pappenheimer bodies Blood,0
leukocytes Urine,0
glucose Urine,0
total nucleated cells ascites Ascites,0
ovalocytes Blood,0
calcium urine Urine,0
fibrinogen functional Blood,0
oxygen Blood,0
ammonia Blood,0
anti-nuclear antibody Blood,0
inpatient hematology/oncology smear Blood,0
o2 flow Blood,0
magnesium urine Urine,0
osmolality measured Blood,0
other cells Blood,0
sodium whole blood Blood,0
transferrin Blood,0
alanine aminotransferase (alt) Blood,0
digoxin Blood,0
hpe7 Blood,0
chloride Blood,1
pco2 Blood,1
total protein urine Urine,0
phosphate urine Urine,0
iron binding capacity total Blood,0
creatine kinase mb isoenzyme Blood,0
haptoglobin Blood,0
osmolality urine Urine,0
eosinophils Ascites,0
renal epithelial cells Urine,0
asparate aminotransferase (ast) Blood,0
bacteria Urine,0
absolute basophil count Blood,0
hepatitis b virus core antibody Blood,0
albumin Blood,0
joint crystals comment Joint Fluid,0
cellular cast Urine,0
bands Blood,0
total nucleated cells joint Joint Fluid,0
calculated thyroxine (t4) index Blood,0
free calcium Blood,1
polys Other Body Fluid,0
poikilocytosis Blood,0
white blood cells Blood,1
bilirubin indirect Blood,0
urine appearance Urine,0
calcium total Blood,0
immature granulocytes Blood,0
