event,Community Detection (Res 1)
lymphocytes Other Body Fluid,10
monos Other Body Fluid,10
polys Other Body Fluid,10
ntprobnp Blood,11
chloride Blood,11
gentamicin Blood,11
protein total Blood,11
large platelets Blood,11
mch Blood,12
hpe2 Blood,12
cholesterol total Blood,12
cholesterol ldl calculated Blood,13
renal epithelial cells Urine,13
red blood cells Blood,13
hematocrit Blood,14
pencil cells Blood,14
