event,Community Detection (Res 2)
creatinine Blood,25
sedimentation rate Blood,25
anticardiolipin antibody igg Blood,25
c-reactive protein Blood,26
calcium total Blood,26
rdw-sd Blood,27
chloride whole blood Blood,27
renal epithelial cells Urine,28
red blood cells Blood,28
hematocrit Blood,29
hemoglobin Blood,30
mch Blood,31
platelet count Blood,32
potassium Blood,33
urea nitrogen Blood,34
mchc Blood,35
glucose Blood,36
