event,Community Detection (Res 1.5)
cortisol Blood,15
prostate specific antigen Blood,15
bicarbonate Blood,15
gentamicin Blood,16
chloride Blood,16
protein total Blood,16
large platelets Blood,16
lithium Blood,17
cholesterol ldl calculated Blood,17
renal epithelial cells Urine,17
red blood cells Blood,17
hpe3 Blood,18
platelet count Blood,18
hematocrit Blood,19
hemoglobin Blood,20
mch Blood,21
glucose Blood,22
amylase Blood,23
